Id,API Method,Library Name,Library Version,Class,Start Line,End Line,Type,Exception,Exception Condition,Pre Order,Condition,Restrain Id
1,ArrayList(int),jdk,1.8.0,java.util.ArrayList,151,160,exception,IllegalArgumentException,,,,0
2,ArrayList(Collection<? extends E>),jdk,1.8.0,java.util.ArrayList,177,187,condition,,,,arg0!=null,0
3,ArrayList(Collection<? extends E>),jdk,1.8.0,java.util.ArrayList,177,187,exception,NullPointerException,2,,,0
4,toArray(T[]),jdk,1.8.0,java.util.ArrayList,407,416,exception,ArrayStoreException,,,,0
5,toArray(T[]),jdk,1.8.0,java.util.ArrayList,407,416,condition,,,,arg0!=null,0
6,toArray(T[]),jdk,1.8.0,java.util.ArrayList,407,416,exception,NullPointerException,5,,,0
7,get(int),jdk,1.8.0,java.util.ArrayList,432,436,exception,IndexOutOfBoundsException,,,,0
8,"set(int,E)",jdk,1.8.0,java.util.ArrayList,447,453,exception,IndexOutOfBoundsException,,,,0
9,"add(int,E)",jdk,1.8.0,java.util.ArrayList,476,484,exception,IndexOutOfBoundsException,,,,0
10,remove(int),jdk,1.8.0,java.util.ArrayList,495,508,exception,IndexOutOfBoundsException,,,,0
11,addAll(Collection<? extends E>),jdk,1.8.0,java.util.ArrayList,580,587,condition,,,,arg0!=null,0
12,addAll(Collection<? extends E>),jdk,1.8.0,java.util.ArrayList,580,587,exception,NullPointerException,11,,,0
13,"addAll(int,Collection<? extends E>)",jdk,1.8.0,java.util.ArrayList,604,619,condition,,,,arg1!=null,0
14,"addAll(int,Collection<? extends E>)",jdk,1.8.0,java.util.ArrayList,604,619,exception,IndexOutOfBoundsException,13,,,0
15,"addAll(int,Collection<? extends E>)",jdk,1.8.0,java.util.ArrayList,604,619,condition,,,,arg1!=null,0
16,"addAll(int,Collection<? extends E>)",jdk,1.8.0,java.util.ArrayList,604,619,exception,NullPointerException,15,,,0
17,removeAll(Collection<?>),jdk,1.8.0,java.util.ArrayList,692,695,exception,ClassCastException,,,,0
18,removeAll(Collection<?>),jdk,1.8.0,java.util.ArrayList,692,695,condition,,,,arg0!=null,0
19,removeAll(Collection<?>),jdk,1.8.0,java.util.ArrayList,692,695,exception,NullPointerException,18,,,0
20,retainAll(Collection<?>),jdk,1.8.0,java.util.ArrayList,713,716,exception,ClassCastException,,,,0
21,retainAll(Collection<?>),jdk,1.8.0,java.util.ArrayList,713,716,condition,,,,arg0!=null,0
22,retainAll(Collection<?>),jdk,1.8.0,java.util.ArrayList,713,716,exception,NullPointerException,21,,,0
23,listIterator(int),jdk,1.8.0,java.util.ArrayList,814,818,exception,IndexOutOfBoundsException,,,,0
24,listIterator(int),jdk,1.8.0,java.util.ArrayList,815,816,condition,,,,!(arg0 < 0 || arg0 > size),0
25,listIterator(int),jdk,1.8.0,java.util.ArrayList,816,816,exception,IndexOutOfBoundsException,24,,,0
26,"subList(int,int)",jdk,1.8.0,java.util.ArrayList,1003,1006,exception,IndexOutOfBoundsException,,,,0
27,"subList(int,int)",jdk,1.8.0,java.util.ArrayList,1003,1006,exception,IllegalArgumentException,,,,0
28,tryAdvance(Consumer<? super E>),jdk,1.8.0,java.util.ArrayList,1353,1354,condition,,,,arg0 != null,0
29,tryAdvance(Consumer<? super E>),jdk,1.8.0,java.util.ArrayList,1354,1354,exception,NullPointerException,28,,,0
30,forEachRemaining(Consumer<? super E>),jdk,1.8.0,java.util.ArrayList,1370,1371,condition,,,,arg0 != null,0
31,forEachRemaining(Consumer<? super E>),jdk,1.8.0,java.util.ArrayList,1371,1371,exception,NullPointerException,30,,,0
32,File(String),jdk,1.8.0,java.io.File,275,281,condition,,,,arg0!=null,0
33,File(String),jdk,1.8.0,java.io.File,275,281,exception,NullPointerException,32,,,0
